Id,SalePrice
1461,117657.66309449635
1462,156867.76339448197
1463,185253.59768719654
1464,195463.74141921298
1465,196110.9270026707
1466,168991.36284910742
1467,172213.24549921558
1468,163922.62418597424
1469,186687.21196876862
1470,122498.69164407114
1471,192757.40412448457
1472,96717.10176895701
1473,96560.5778489765
1474,148596.92766737184
1475,111985.32184261407
1476,372599.79129180615
1477,265854.7172924619
1478,279915.4313318237
1479,293361.34806838876
1480,475518.50949171744
1481,325534.72708000545
1482,210704.2339046236
1483,180741.1677996892
1484,164809.35783330502
1485,189728.90101031342
1486,195917.80457111174
1487,330558.8604565533
1488,236289.3436739271
1489,205472.4857410895
1490,232005.7898302709
1491,196302.21868839953
1492,92816.7539562824
1493,193956.9911407927
1494,291461.3591018476
1495,289448.26316036086
1496,240199.74060841405
1497,177759.4796496196
1498,164055.15186655597
1499,161228.9946134226
1500,157226.5524073207
1501,173393.8387596379
1502,147777.51392321533
1503,276879.2619888885
1504,236552.835898277
1505,225110.56475139517
1506,192161.07827074907
1507,248022.69980282703
1508,203695.1511198971
1509,160187.4587016643
1510,148909.2223834372
1511,146822.19324696748
1512,171951.54211678944
1513,142070.29036386433
1514,158829.99255328125
1515,188892.73018153594
1516,153234.75213649624
1517,167443.97911850145
1518,130669.07382318025
1519,214477.0001403105
1520,131944.81288121743
1521,135736.43718482959
1522,175730.2882255006
1523,110371.65897287929
1524,121703.1628283558
1525,120542.34744901703
1526,115269.56394137704
1527,102476.52454910519
1528,137957.06805880147
1529,152971.1942917723
1530,179322.8583929923
1531,106656.12255633634
1532,96903.42119829534
1533,147832.5268869698
1534,121616.34603227935
1535,153242.33174079156
1536,111027.67733419558
1537,68037.67723993934
1538,157809.5808693314
1539,183645.60889320675
1540,99898.51157927544
1541,138530.2214779982
1542,141071.89353910054
1543,202848.63645235103
1544,81677.45322788836
1545,114856.34307465013
1546,135496.93540822272
1547,134415.00173166912
1548,137408.67812797253
1549,122316.83251922551
1550,139963.57548751353
1551,106924.31543189363
1552,136263.04549040218
1553,151463.03254805558
1554,112291.59672452291
1555,162706.42278398282
1556,86605.11770098328
1557,102933.27017410696
1558,98121.37822428747
1559,87391.33027652552
1560,134785.85949137522
1561,138740.88843171514
1562,129220.38028503946
1563,124075.26680696716
1564,164074.9624059389
1565,153957.25021622924
1566,237810.23754190863
1567,72828.17826107184
1568,235430.78064063462
1569,127751.50032112983
1570,140193.10738771313
1571,121446.5041954677
1572,143724.3260833248
1573,248689.92117128475
1574,128123.82418662775
1575,230458.6009507569
1576,251551.07068703795
1577,192492.64460552175
1578,142197.6040567787
1579,145428.27135574078
1580,193541.2066956507
1581,153534.79148443422
1582,124858.78464925937
1583,303824.04971143487
1584,225273.92599030148
1585,140517.7259536971
1586,66422.22324943027
1587,102172.8534287116
1588,153856.22273454495
1589,105166.60830070078
1590,135166.6089691487
1591,95525.48917089461
1592,116513.70643962995
1593,122087.36180810252
1594,127495.81292287789
1595,105963.81825421209
1596,231979.81096034058
1597,196630.93521698308
1598,221363.83044450422
1599,161958.54757393518
1600,161677.5271842822
1601,62740.68975067688
1602,110593.15028838828
1603,87540.61352513052
1604,260319.67531964832
1605,242615.52910637218
1606,172717.43818837748
1607,177637.3027003429
1608,225609.06280553283
1609,184514.2102308717
1610,155570.19298064202
1611,139613.00055599055
1612,173484.98604449286
1613,169358.4767950668
1614,121444.69750274511
1615,90440.93044401871
